Datetime,MW
7/24/18 23:00,3476
7/24/18 22:00,3720
7/24/18 21:00,3766
7/24/18 20:00,3851
7/24/18 19:00,3954
7/24/18 18:00,3960
7/24/18 17:00,3965
7/24/18 16:00,3923
7/24/18 15:00,3946
7/24/18 14:00,3903
7/24/18 13:00,3761
7/24/18 12:00,3613
7/24/18 11:00,3515
7/24/18 10:00,3325
7/24/18 9:00,3180
7/24/18 8:00,2984
7/24/18 7:00,2841
7/24/18 6:00,2686
7/24/18 5:00,2643
7/24/18 4:00,2624
7/24/18 3:00,2624
7/24/18 2:00,2745
7/24/18 1:00,2904
7/24/18 0:00,3152
7/23/18 23:00,3385
7/23/18 22:00,3593
7/23/18 21:00,3592
7/23/18 20:00,3690
7/23/18 19:00,3741
7/23/18 18:00,3748
7/23/18 17:00,3709
7/23/18 16:00,3738
7/23/18 15:00,3732
7/23/18 14:00,3712
7/23/18 13:00,3612
7/23/18 12:00,3516
7/23/18 11:00,3402
7/23/18 10:00,3248
7/23/18 9:00,3102
7/23/18 8:00,2972
7/23/18 7:00,2800
7/23/18 6:00,2510
7/23/18 5:00,2534
7/23/18 4:00,2499
7/23/18 3:00,2541
7/23/18 2:00,2646
7/23/18 1:00,2867
7/23/18 0:00,3015
7/22/18 23:00,3263
7/22/18 22:00,3479
7/22/18 21:00,3557
7/22/18 20:00,3663
7/22/18 19:00,3716
7/22/18 18:00,3678
7/22/18 17:00,3591
7/22/18 16:00,3482
7/22/18 15:00,3355
7/22/18 14:00,3252
7/22/18 13:00,3126
7/22/18 12:00,3014
7/22/18 11:00,2816
7/22/18 10:00,2774
7/22/18 9:00,2619
7/22/18 8:00,2507
7/22/18 7:00,2446
7/22/18 6:00,2430
7/22/18 5:00,2403
7/22/18 4:00,2439
7/22/18 3:00,2488
7/22/18 2:00,2548
7/22/18 1:00,2722
7/22/18 0:00,2908
7/21/18 23:00,3040
7/21/18 22:00,3163
7/21/18 21:00,3147
7/21/18 20:00,3163
7/21/18 19:00,3253
7/21/18 18:00,3237
7/21/18 17:00,3245
7/21/18 16:00,3271
7/21/18 15:00,3254
7/21/18 14:00,3221
7/21/18 13:00,3247
7/21/18 12:00,3147
7/21/18 11:00,2982
7/21/18 10:00,2864
7/21/18 9:00,2673
7/21/18 8:00,2404
7/21/18 7:00,2422
7/21/18 6:00,2363
7/21/18 5:00,2338
7/21/18 4:00,2388
7/21/18 3:00,2416
7/21/18 2:00,2524
7/21/18 1:00,2602
7/21/18 0:00,2767
7/20/18 23:00,2931
7/20/18 22:00,3049
7/20/18 21:00,3078
7/20/18 20:00,3049
7/20/18 19:00,3113
7/20/18 18:00,3181
7/20/18 17:00,3237
7/20/18 16:00,3386
7/20/18 15:00,3576
